Author,Gender,Race/Ethnicity,Unmarked White?,Annotator Notes,Source
Ta-Nehisi Coates,M,Black,,"""Ta-Nehisi Coates is one of the most original and perceptive black voices today",https://www.pbs.org/weta/finding-your-roots/about/meet-our-guests/ta-nehisi-coates
Tara Westover,F,White,Y,"""Westover was the youngest of seven children born in Clifton, Idaho (population 259) to Mormon survivalist parents. """,https://en.wikipedia.org/wiki/Tara_Westover
Theodore Dreiser,M,White,,"""Dreiser was born in Terre Haute, Indiana, to John Paul Dreiser and Sarah Maria (née Schanab).[3] John Dreiser was a German immigrant from Mayen in the Rhine Province of Prussia, and Sarah was from the Mennonite farming community near Dayton, Ohio. """,https://en.wikipedia.org/wiki/Theodore_Dreiser
Thomas Hardy,M,White,Y,"""Thomas Hardy was born on 2 June, 1840 in Higher Bockhampton (then Upper Bockhampton), a hamlet in the parish of Stinsford to the east of Dorchester in Dorset, England, where his father Thomas (1811–1892) worked as a stonemason and local builder""",https://en.wikipedia.org/wiki/Thomas_Hardy
Thomas Mann,M,White,,"""Paul Thomas Mann was born to a bourgeois family in Lübeck, the second son of Thomas Johann Heinrich Mann (a senator and a grain merchant) and his wife Júlia da Silva Bruhns, a Brazilian woman of German and Portuguese ancestry, who emigrated to Germany with her family when she was seven years old""",https://en.wikipedia.org/wiki/Thomas_Mann
Thomas More,M,White,,":Born on Milk Street in the City of London, on 7 February 1478, Thomas More was the son of Sir John More,[15] a successful lawyer and later a judge,[9] and his wife Agnes (née Graunger). He was the second of six children. More was educated at St. Anthony's School, then considered one of London's best schools.""",https://en.wikipedia.org/wiki/Thomas_More
Thomas Wolfe,M,White,Y,"""Wolfe was born in Asheville, North Carolina"", ""His father, a successful stone carver, ran a gravestone business.""",https://en.wikipedia.org/wiki/Thomas_Wolfe
Tim O'Brien,M,White,Y,"""Tim O'Brien (born October 1, 1946) is an American novelist who served as a soldier in the Vietnam War.""",https://en.wikipedia.org/wiki/Tim_O%27Brien_(author)
Tobias Wolff,M,White,,"""Wolff was born in 1945 in Birmingham, Alabama, the second son of Rosemary (Loftus) from Hartford, Connecticut, and Arthur Samuels Wolff, an aeronautical engineer who was a son of a Jewish doctor and his wife""",https://en.wikipedia.org/wiki/Tobias_Wolff
Tommy Orange,M,Native/Indigenous,,""" According to a New York Times review, Orange's father was a Native American ceremony leader, while his mother converted for a time to Christianity.""",https://en.wikipedia.org/wiki/Tommy_Orange
Toni Morrison,F,Black,,"""Toni Morrison was born Chloe Ardelia Wofford,[2] the second of four children from a working-class, Black family, in Lorain, Ohio, to Ramah (née Willis) and George Wofford.""",https://en.wikipedia.org/wiki/Toni_Morrison
Trevor Noah,M,"White, Black",,"""His father, Robert, is of Swiss-German ancestry, and his mother, Patricia Nombuyiselo Noah, is Xhosa",https://en.wikipedia.org/wiki/Trevor_Noah
Truman Capote,M,White,Y,"""Truman Garcia Capote[1] (/kəˈpoʊti/ kə-POH-tee;[2] born Truman Streckfus Persons; September 30, 1924 – August 25, 1984) was an American novelist, screenwriter, playwright and actor.""",https://en.wikipedia.org/wiki/Truman_Capote
Tsitsi Dangarembga,F,Black,,"""Her debut novel, Nervous Conditions (1988), which was the first to be published in English by a Black woman from Zimbabwe""",https://en.wikipedia.org/wiki/Tsitsi_Dangarembga
Upton Sinclair,M,White,,"""Both of Upton Sinclair's parents were of British ancestry. """,https://en.wikipedia.org/wiki/Upton_Sinclair
V. S. Naipaul,M,Asian,,"""Trinidadian writer of Indian descent""",https://www.britannica.com/biography/V-S-Naipaul
Veronica Roth,F,White,,"""Roth is of German and Polish descent.""",https://en.wikipedia.org/wiki/Veronica_Roth
Virginia Woolf,F,White,Y,"""Woolf was born into an affluent household in South Kensington, London, the seventh child of Julia Prinsep Jackson and Leslie Stephen""",https://en.wikipedia.org/wiki/Virginia_Woolf
Vladimir Nabokov,M,White,,"""His family traced its roots to the 14th-century Tatar prince Nabok Murza, who entered into the service of the Tsars,""",https://en.wikipedia.org/wiki/Vladimir_Nabokov
Voltaire,M,White,,"""François-Marie Arouet was born in Paris, the youngest of the five children of François Arouet (1649–1722), a lawyer who was a minor treasury official, and his wife, Marie Marguerite Daumard (c. 1660–1701), whose family was on the lowest rank of the French nobility.""",https://en.wikipedia.org/wiki/Voltaire
W. O. Mitchell,M,White,Y,"""William Ormond Mitchell, PC OC (March 13, 1914 – February 25, 1998) was a Canadian writer and broadcaster.""",https://en.wikipedia.org/wiki/W._O._Mitchell
Wallace Stegner,M,White,Y,"""Wallace Earle Stegner (February 18, 1909 – April 13, 1993) was an American novelist, short story writer, environmentalist, and historian,""",https://en.wikipedia.org/wiki/Wallace_Stegner
Waubgeshig Rice,M,Native/Indigenous,,"""Waubgeshig Rice is an author and journalist from Wasauksing First Nation on Georgian Bay.""",https://www.waub.ca/about/
Wes Moore,M,Black,,"""he is the first Black governor of the state""",https://en.wikipedia.org/wiki/Wes_Moore
Willa Cather,F,White,,"""The Cather family originated in Wales""",https://en.wikipedia.org/wiki/Willa_Cather
William Faulkner,M,White,Y,"""illiam Faulkner (1897-1962), who came from an old southern family, grew up in Oxford, Mississippi. """,https://www.nobelprize.org/prizes/literature/1949/faulkner/biographical/
William Golding,M,White ,,"""Sir William Gerald Golding CBE FRSL (19 September 1911 – 19 June 1993) was a British novelist, playwright, and poet.""",https://en.wikipedia.org/wiki/William_Golding
William Styron,M,White,Y,"""William Clark Styron Jr. (June 11, 1925 – November 1, 2006) was an American novelist and essayist who won major literary awards for his work.""",https://en.wikipedia.org/wiki/William_Styron
William Wells Brown,M,"Black, White",,"""William was of mixed race; his father was George W. Higgins, a white planter and cousin of his master Dr. Young."" ""his mother Elizabeth was a slave""",https://en.wikipedia.org/wiki/William_Wells_Brown
Yaa Gyasi,F,Black,,"""Yaa Gyasi (born 1989) is a Ghanaian-American novelist. """,https://en.wikipedia.org/wiki/Yaa_Gyasi
Yann Martel,M,White,,"""Martel was born in Salamanca, Spain, in 1963 to French-Canadians Émile Martel and Nicole Perron """,https://en.wikipedia.org/wiki/Yann_Martel
Zadie Smith,F,"Black, White",,"""Sadie Smith was born on 25 October 1975[3] in Willesden[4] to a Jamaican mother, Yvonne Bailey, and an English father, Harvey Smith,[5] who was 30 years his wife's senior""",https://en.wikipedia.org/wiki/Zadie_Smith
Zora Neale Hurston,F,Black,,"""Hurston became the most successful and most significant black woman writer of the first half of the 20th century""",https://www.zoranealehurston.com/about/
